week,demand_MW_mean,demand_MW_s0,demand_MW_s1,demand_MW_s2,demand_MW_s3,demand_MW_s4,demand_MW_s5,demand_MW_s6,demand_MW_s7,demand_MW_s8,demand_MW_s9
33,53163.48,51775.67,48571.32,56520.74,55893.38,50687.87,55368.48,52065.86,56402.29,52848.33,51500.82
34,51720.51,50436.59,49683.30,55212.79,55916.39,49035.98,52474.35,52199.35,49931.24,50569.54,51745.59
35,53059.54,52600.50,52084.33,53514.25,56037.54,52258.05,54353.83,52983.54,52467.41,51843.84,52452.07
36,50220.20,50676.02,46740.39,50833.83,52719.63,49505.41,51542.05,49304.94,50794.79,49473.83,50611.16
37,50936.88,51000.32,49151.26,51585.12,52557.61,50653.96,52933.20,50562.22,49795.77,50330.75,50798.56
38,50147.75,52674.59,51096.54,50074.14,52370.51,48769.97,52342.72,48572.03,48468.23,47613.62,49495.11
39,49681.86,51239.39,50770.82,48066.61,52823.07,48630.10,51794.37,47645.70,47892.45,48509.02,49447.05
40,50926.30,53524.78,50360.34,50146.07,52880.56,51204.58,51666.73,51508.65,48438.06,50010.56,49522.67
41,50836.76,53346.92,51079.21,50035.74,53734.29,50728.56,50571.29,49958.71,50148.41,48146.50,50617.97
42,51428.85,50870.19,46941.08,52248.98,54069.47,50364.92,51751.27,52187.36,50674.10,52465.82,52715.35
43,51062.55,50719.23,47562.37,52152.62,52493.37,50225.61,50924.39,50020.59,52038.46,52040.29,52448.57
44,52047.37,51824.18,48295.93,54262.92,52777.52,51502.22,49620.79,52368.41,52502.04,55034.59,52285.12
45,51885.60,52181.64,48703.07,52905.18,50032.36,51902.04,50376.57,54664.12,52934.45,52945.32,52211.24
46,50366.64,49917.70,47471.58,50817.48,50689.38,50720.10,50502.15,51973.33,49826.43,52133.60,49614.68
47,49025.65,47843.11,46467.07,49429.37,49748.67,48689.60,50155.13,50409.31,48997.31,49462.89,49054.02
48,48469.89,45318.66,45047.12,49524.56,47739.34,49346.29,49211.60,50912.45,48497.51,48503.06,50598.32
49,50629.90,50075.49,48387.12,51378.13,46428.83,52842.96,52479.54,52933.07,51990.15,47812.83,51970.86
50,52556.17,52003.90,50752.52,52735.56,49517.66,53728.71,52990.82,54482.30,52892.83,52252.53,54204.85
51,55381.67,54969.82,54466.74,55982.56,51859.77,57181.26,55329.15,55952.60,56553.87,56674.39,54846.53
52,55293.86,56156.28,55307.80,57125.85,52350.49,54421.10,56059.81,54174.45,55776.06,56164.29,55402.48
53,54443.02,55286.18,54452.34,56070.37,52002.74,54545.49,54938.89,52311.55,55050.81,54829.94,54941.88
54,54520.97,57538.47,52873.46,56338.65,53045.08,55974.39,54913.51,53502.89,54475.82,55187.33,51360.12
55,53925.59,58361.48,50211.04,52928.06,56430.89,57911.58,52580.91,55863.18,50508.67,53607.43,50852.67
56,54309.71,60244.32,50856.25,55373.67,57008.16,58795.60,53398.30,55050.84,48274.20,55765.92,48329.79
57,56001.02,61559.48,50330.25,56961.21,56035.55,59440.34,56453.41,57071.36,51175.74,58229.66,52753.19
58,59047.66,61341.38,54454.46,59857.68,58331.11,61263.49,62737.87,59310.57,53241.36,61841.94,58096.75
59,60116.64,61571.28,58413.62,59963.21,58086.94,61525.05,61505.50,57930.85,59479.63,63430.58,59259.77
60,63838.49,65978.12,64525.66,63650.26,61679.37,58914.12,65712.77,61719.60,64077.61,67796.49,64330.94
61,64133.13,63533.02,61273.86,67491.55,64734.35,59804.91,65851.36,60676.76,65521.72,66598.27,65845.56
62,66499.94,65606.17,62885.00,72993.45,71017.01,61558.04,64945.28,61946.48,65498.83,70512.35,68036.84
63,67407.95,66404.67,68770.36,72903.86,67446.24,60775.93,67933.44,69555.09,66297.49,67637.19,66355.21
64,67943.18,67446.12,69487.78,64411.72,73484.76,62347.61,72593.97,71864.09,70716.99,62748.70,64330.03
65,68388.63,65015.06,68071.04,64742.98,72719.72,67443.20,70930.34,73192.48,72227.81,63905.95,65637.76
66,70377.34,67223.66,69215.92,66452.74,69763.31,71595.57,70342.79,72592.57,76554.95,70722.79,69309.14
67,69078.30,71151.24,70268.82,62937.78,66758.97,66742.94,71969.98,75355.38,75615.59,65181.69,64800.64
68,69036.74,70125.74,66636.26,63928.03,65177.62,66486.12,80343.34,71157.89,73273.89,70383.51,62854.97
69,72643.44,69148.39,66855.21,69152.15,71223.68,76170.81,80411.46,74334.20,72074.43,76950.86,70113.20
70,73477.71,70136.83,70807.61,69215.42,74407.68,70045.35,78839.15,79353.35,71786.28,79360.82,70824.59
71,71993.99,67062.37,72004.98,70864.42,74113.62,70279.97,74402.98,74363.52,73214.28,76932.39,66701.36
72,71980.17,69899.36,68206.95,74642.14,71216.95,76445.03,72041.96,69335.21,71905.71,74885.52,71222.89
73,71808.07,71086.54,63853.07,70811.09,73035.22,81060.57,71395.78,65862.36,72339.64,77700.97,70935.45
74,72371.49,69033.96,62893.41,71722.97,74157.07,81849.47,70249.70,68085.32,73144.27,83114.09,69464.61
75,68779.11,67096.07,66103.93,66885.64,70186.42,77183.89,65011.57,62925.27,71576.97,77313.95,63507.42
76,65985.33,66304.14,60677.04,65262.04,63124.18,73494.54,66724.12,60251.48,68161.48,75223.29,60631.01
77,65145.92,64646.89,61648.17,64054.15,62299.23,69235.05,66232.98,63875.15,64665.39,69769.26,65032.88
78,63165.65,62138.77,58553.20,61521.96,62048.91,63513.41,67269.59,62641.34,62208.56,67161.80,64598.98
79,62612.68,61113.94,51793.49,65363.64,61359.76,60847.99,65893.97,65858.14,63985.37,64425.50,65485.02
80,61178.44,63648.93,50481.74,62878.48,58219.25,56708.58,64840.48,62029.70,65519.95,61003.68,66453.58
81,59110.89,58305.13,55450.00,61203.10,56244.20,58934.35,61637.54,57054.27,59045.87,60812.63,62421.84
82,56645.25,54909.05,56460.86,58340.33,54638.43,53782.51,57494.10,54805.00,55863.71,60644.45,59514.08
83,56875.83,55595.86,55067.67,56783.20,54861.98,55309.66,59237.38,56359.91,57728.91,60794.07,57019.66
84,57035.43,56058.50,56033.95,55956.43,54307.20,52479.05,59512.65,58386.88,59829.17,61402.69,56387.74
85,54070.41,53372.63,53314.03,55691.99,55773.38,49920.34,53886.54,52622.18,56809.11,55199.92,54113.95
86,53558.21,53135.20,55098.15,55887.99,58240.45,49486.79,54081.00,54140.23,51101.75,53239.91,51170.61
87,52284.43,52740.90,52566.43,51268.66,55287.45,51195.71,53994.71,50987.65,51255.42,51854.37,51692.98
88,52663.14,53323.63,50895.06,51857.65,56088.30,52488.53,54453.14,50190.86,51492.98,52467.51,53373.77
89,52331.14,55006.74,50616.49,52855.08,52736.87,52417.81,54038.02,50295.37,50345.75,52327.79,52671.48
90,52312.51,54652.02,47047.21,53813.83,52769.04,50226.90,54147.63,52617.44,52208.54,53034.04,52608.44
91,51321.96,52584.94,47336.93,51589.58,51944.40,49537.43,52794.36,51945.81,52118.07,52229.81,51138.26
92,51609.90,53616.57,47682.93,51117.82,52246.00,49422.29,52612.09,52707.26,51804.28,52701.08,52188.73
93,51995.77,53831.57,49104.21,50231.09,53097.20,49771.25,52401.20,52529.50,54680.55,52916.03,51395.05
94,52829.85,53550.38,49423.46,52705.71,54132.24,50584.88,52206.79,54138.53,52547.13,53577.32,55432.07
95,52964.23,52813.48,48460.39,52386.22,54308.23,51902.74,54588.10,53103.72,51952.15,54643.07,55484.24
96,53603.46,52993.11,50906.55,54084.40,53628.81,51974.66,52717.48,54995.06,52223.95,54947.57,57563.02
97,54108.11,52759.15,50895.04,55359.80,52892.09,52567.58,55647.89,55218.52,53295.30,55429.17,57016.53
98,51532.43,51067.40,48959.70,54310.36,50781.65,50350.18,52810.62,52249.49,50898.72,51076.91,52819.24
99,49229.37,50620.65,47895.10,52247.95,48343.35,47746.21,49281.01,50248.95,50744.39,46067.09,49098.96
100,48489.06,50750.00,46935.73,51383.51,46948.62,46590.38,48239.50,49923.09,48574.04,45842.59,49703.18
101,51780.48,53584.30,49075.16,53430.99,50542.47,51184.65,51655.76,53706.62,51449.00,49150.24,54025.62
102,54175.22,53892.61,52054.43,55970.51,53009.80,53061.75,54461.24,56745.59,53495.87,52670.45,56389.91
103,55832.18,58034.50,54405.69,56850.70,55850.94,53493.36,54945.79,58125.85,56424.10,53506.54,56684.36
104,55790.66,58128.47,55429.01,55459.31,56291.02,53654.97,55436.94,58187.26,54034.81,54985.58,56299.23
105,54982.92,57711.52,56039.38,54594.18,54364.73,52191.08,52286.78,57101.43,53197.09,55126.55,57216.44
106,55480.94,57640.50,54554.24,55725.83,53651.08,54092.21,53644.64,56406.98,55327.17,56236.54,57530.19
107,57095.37,58007.30,55743.80,56809.27,57200.14,55045.78,57167.07,58931.21,56213.24,57308.96,58526.95
108,57879.36,58464.35,60186.59,58421.44,58135.07,57252.55,53210.21,58995.98,55972.20,58391.17,59764.09
109,58505.69,59131.34,57168.01,60853.07,58424.50,57700.17,52307.25,60638.70,56768.78,60414.50,61650.55
110,61622.12,58675.23,57620.97,62034.89,59942.47,63945.83,62974.79,64666.84,58878.50,63629.27,63852.45
111,60964.56,58895.16,57889.17,58527.90,60813.61,66452.25,57374.12,65003.83,59557.63,64896.70,60235.24
112,63642.78,65217.86,60096.61,65070.78,62880.39,63577.67,62413.66,65992.00,60491.05,65493.52,65194.27
113,63771.79,63411.54,56071.53,64795.39,66246.44,62671.51,63433.94,63178.32,64685.24,64987.26,68236.69
114,66548.50,67728.84,62432.67,68608.67,72578.47,64819.10,61469.62,63598.90,66910.11,68476.60,68861.99
115,69206.75,69370.02,70626.22,71737.70,72803.36,66199.33,67133.81,68680.12,67701.64,65947.99,71867.28
116,70244.08,70589.31,73770.26,66813.69,73157.15,66725.28,76591.14,70181.91,70232.28,63639.49,70740.31
117,70615.98,69538.55,70944.04,68644.66,76717.87,66310.67,73474.37,70059.77,73185.96,65116.64,72167.26
118,70659.00,68793.56,67881.67,69814.33,70005.42,69906.96,72162.14,71683.88,74743.61,69485.41,72113.06
119,70220.31,69363.94,72448.60,69981.35,65918.73,67768.05,75846.98,73186.68,73841.95,66730.84,67115.92
120,69301.11,68143.24,66172.57,69882.22,67214.86,66190.51,80426.98,67985.18,72984.79,70321.94,63688.84
121,73094.22,69985.43,67158.17,73034.65,70874.96,77203.24,80138.57,70225.51,68582.16,81094.95,72644.56
122,74660.85,76614.08,68539.32,72132.68,73748.99,73225.58,80571.57,77743.12,70848.81,80588.84,72595.54
123,73241.28,73214.80,73018.97,72669.68,73003.29,71219.23,77499.90,75070.87,71914.38,76206.13,68595.56
124,72516.66,72913.87,69062.12,76771.37,71024.53,77366.32,74297.82,68469.59,73830.41,73042.25,68388.30
125,71808.36,72973.99,66471.96,69028.38,70717.41,82060.43,76206.06,66055.48,72761.16,72161.83,69646.90
126,70409.35,69423.33,62402.58,69749.14,69342.06,78398.71,70173.76,65228.62,73418.61,74767.95,71188.71
127,67520.55,70362.09,62949.04,64187.07,68704.47,74837.21,66047.96,62178.07,67467.44,72739.60,65732.56
128,64545.07,65933.53,58507.68,63837.29,63167.99,68416.76,65481.25,62004.58,66761.99,69647.91,61691.73
129,64814.77,65446.69,59231.61,61821.51,60925.63,66365.99,66875.42,62215.39,66245.46,72783.54,66236.50
130,63165.47,64935.01,57371.30,59910.13,64662.94,67943.49,65096.11,60867.48,64918.58,63846.74,62102.89
131,62702.60,64285.21,56110.71,62861.37,59559.39,62281.02,67251.49,62669.25,64516.54,63004.42,64486.65
132,61235.88,65918.95,52379.72,63013.95,58995.65,57344.85,62886.15,63319.59,65561.02,56369.79,66569.13
133,60082.73,60674.10,55221.11,64073.15,55476.27,59848.15,62968.68,56423.13,62989.05,58087.22,65066.45
134,58636.07,57788.94,56524.78,61846.83,57263.86,58100.72,60910.12,54010.64,58938.49,61693.83,59282.52
135,57225.21,55634.42,53408.28,60617.38,56127.12,56872.21,60711.00,54911.25,56556.19,59878.94,57535.30
136,56066.46,55017.81,52808.33,56660.89,53104.92,55251.46,60632.44,58365.06,58480.74,57183.02,53159.88
137,54019.09,53057.86,50081.73,56790.66,51510.83,54504.51,55660.05,53185.14,58363.58,55517.04,51519.55
138,53922.49,54774.19,51214.87,58227.80,56096.79,53810.94,50420.82,54294.42,55878.44,52722.91,51783.69
139,54556.43,57210.57,51531.69,59421.57,58414.30,54650.52,50679.56,53760.84,55837.40,51262.37,52795.48
140,53658.05,54698.62,48536.40,55755.54,55971.94,55453.65,49043.93,54393.15,57854.42,50842.07,54030.81
141,51964.20,52528.63,47715.14,55270.30,52223.26,54063.49,48424.47,51684.07,54886.36,50356.04,52490.24
142,52063.22,53208.46,47932.40,53481.45,51930.98,51364.91,52317.50,53813.89,52801.24,51645.09,52136.32
143,51359.91,53263.45,47295.80,53918.47,52978.76,51579.87,49368.96,51866.31,51521.00,49869.23,51937.21
144,51763.14,53706.49,45303.88,54260.03,54108.53,49773.73,51470.61,50513.62,52873.09,51728.94,53892.50
145,52130.22,54851.58,46788.84,54585.78,54679.96,52203.86,50708.74,49960.91,53423.40,49881.18,54217.96
146,53106.66,54699.45,50658.96,54899.59,54255.39,52766.16,53128.09,52405.72,54840.35,50293.28,53119.57
147,53116.30,53857.98,52388.31,55507.24,54342.27,52807.30,51249.88,53924.76,52783.35,50384.94,53917.02
148,52509.72,53726.55,51620.30,55326.61,52997.66,50083.72,51273.58,52718.77,51929.56,50739.30,54681.17
149,53703.08,56241.15,52099.05,56805.32,52788.79,50324.06,52829.17,53380.06,54717.59,53233.12,54612.50
150,52931.64,54547.99,51374.40,54134.66,52778.86,52373.38,52984.04,52212.85,53252.99,50722.18,54935.08
151,49931.55,50984.19,48165.57,50970.42,50681.63,47963.09,49252.44,49163.63,49657.92,50786.62,51690.01
152,48301.57,50043.68,45930.99,50020.11,48314.97,47081.81,46640.33,48657.84,47876.32,48449.62,50000.03
153,49928.58,52361.96,47136.08,52183.20,50858.60,46620.37,49846.85,50508.86,47626.42,50040.17,52103.34
154,52538.09,53691.34,50246.14,53912.92,51935.44,50658.71,52138.62,53166.12,51498.14,53169.72,54963.71
155,55140.43,55695.92,53516.59,55828.23,54808.42,55315.41,54651.22,54752.30,53926.82,56288.04,56621.34
156,56704.04,58783.73,55138.34,57967.68,55830.68,56390.93,56486.86,56110.73,56280.13,57261.60,56789.76
157,56770.42,58525.01,56155.61,56661.43,55924.60,57027.92,58260.87,55984.52,54670.89,57416.69,57076.61
158,56932.30,58064.72,55550.96,59887.58,54812.93,57502.05,58233.91,57596.32,55846.16,56178.89,55649.51
159,56472.40,57674.14,55659.34,59860.45,55356.55,55883.28,56131.94,58375.68,55810.77,55905.55,54066.31
160,59285.00,61460.06,60312.72,61767.85,59337.77,56305.43,58744.26,58731.49,56734.30,59777.13,59679.02
161,60473.86,60669.42,60292.41,63285.44,60755.73,57854.04,58561.00,61070.83,59377.50,61304.84,61567.36
162,62654.60,62357.89,61025.41,64099.97,61814.81,59100.34,65076.45,65128.82,59990.19,63566.09,64386.02
163,63344.52,61129.85,63083.13,65464.16,65617.21,62380.61,65065.68,64063.27,58156.20,65438.93,63046.17
164,65040.13,63624.09,67757.19,65801.83,66119.72,62767.49,66854.13,68777.39,61131.03,66141.64,61426.77
165,63184.28,61379.88,61975.41,65470.05,64180.54,56870.81,69043.78,66332.47,58601.33,63358.53,64629.96
166,68298.74,69498.02,64735.42,73759.50,73633.06,63581.67,68047.24,65128.73,65948.38,69385.72,69269.69
167,70565.30,73162.37,68997.68,76046.26,74089.23,67223.02,68907.14,71656.36,68168.21,67649.88,69752.84
168,71462.42,67993.79,69900.70,74182.81,74344.09,69192.62,77174.72,73035.61,69368.99,67791.24,71639.65
169,72121.16,65215.82,66666.60,73635.70,80274.28,71477.17,76520.12,72550.31,74412.87,69848.53,70610.20
170,72568.58,66029.45,66629.90,74616.15,74458.95,71596.76,74272.09,72264.13,78932.70,72508.87,74376.79
171,72166.71,69688.57,69888.47,70384.62,71612.29,70636.55,73888.68,73675.57,78498.10,72601.51,70792.79
172,69676.71,66244.12,66301.35,72461.34,68195.10,63401.14,77713.95,72808.42,77797.05,65816.51,66028.12
173,74188.31,68604.62,67565.26,75000.69,72285.03,72857.80,85186.71,74288.34,74999.52,78037.46,73057.66
174,75581.58,73441.34,67254.53,74326.01,76224.20,72576.68,83925.38,79783.17,74423.50,79745.52,74115.49
175,74726.57,74850.08,73426.65,74402.44,74326.44,68696.94,80327.04,77898.92,75243.86,77530.16,70563.19
176,74192.21,70156.67,75154.11,76067.17,74297.68,73456.23,74339.85,73358.23,76020.24,78728.94,70342.94
177,72992.97,71221.07,67790.14,73354.03,75817.71,78819.47,73452.65,70836.88,72054.92,74555.08,72027.71
178,72649.66,73947.39,66626.64,72174.62,73537.53,80640.49,70482.72,69047.43,73379.29,75675.52,70985.02
179,71819.29,69166.59,65157.48,72842.58,76870.13,78652.81,67957.81,65642.52,72213.91,79736.42,69952.67
180,67968.27,69086.07,61896.69,70631.41,68498.76,69023.31,68624.00,63828.47,69357.51,74135.16,64601.35
181,68415.61,71605.20,62908.08,72137.05,63497.37,70271.60,68649.23,64692.88,66214.90,74851.45,69328.31
182,68379.37,71538.68,64661.92,69542.39,66004.53,70640.87,69522.98,66414.86,66484.58,71321.98,67660.90
183,66071.83,69705.36,61118.11,72463.99,60834.82,66467.78,68640.62,65478.26,63561.41,65429.98,67017.98
184,65288.51,71203.44,58178.10,67738.11,62869.22,62438.68,65793.67,64298.63,70650.35,59107.81,70607.11
185,61679.35,65599.29,58343.83,65943.37,57573.31,58347.74,61170.59,58887.60,64967.00,57799.36,68161.44
186,59963.79,59323.75,56492.28,62073.46,58698.66,57713.22,63138.56,58718.78,59260.92,60119.97,64098.27
187,56648.94,56470.92,52891.88,57456.45,56369.36,53121.19,60972.97,55820.11,56049.12,58650.26,58687.13
188,55952.06,54709.35,52437.29,54105.01,54314.35,51299.28,62417.08,58064.77,58718.09,56848.93,56606.51
189,54979.13,54902.72,48943.14,56326.93,56783.30,49039.50,59545.35,53392.91,58537.94,56074.31,56245.24
190,53778.74,52721.78,48640.34,59934.74,53583.06,51803.96,53695.00,54921.29,53624.86,56073.18,52789.18
191,53825.60,52764.18,49393.52,58457.64,55966.25,51792.34,53448.93,55714.63,52505.70,53701.96,54510.89
192,50711.38,52740.43,41717.80,52935.22,50896.47,49399.88,50691.03,52817.24,50636.68,51786.29,53492.81
193,52536.56,55049.27,44159.76,55394.40,51162.75,49961.16,54031.44,53619.55,52530.67,54868.65,54587.95
194,52686.86,56157.77,46973.14,55759.68,51169.15,48558.77,53448.65,53835.61,54007.56,50863.51,56094.77
195,52437.11,56165.54,48078.71,55588.48,51652.11,48610.76,52738.39,54048.39,53695.38,48761.66,55031.69
196,51791.47,55388.14,48424.00,50953.44,50194.03,49175.77,53420.33,54680.86,53154.21,51256.96,51266.98
197,52532.93,56750.77,48855.65,53555.39,49899.95,49491.34,53690.49,54321.59,53335.07,53451.76,51977.24
198,53172.65,56263.95,50592.86,54520.07,52074.16,51415.16,53301.94,53457.13,53714.83,52706.27,53680.10
199,53537.28,53821.99,52477.12,54305.04,52955.54,51362.19,54290.69,54845.97,55318.10,52992.87,53003.32
200,52663.92,52357.90,52554.88,53813.35,52179.12,50316.97,53087.60,52198.92,53724.67,52404.62,54001.18
201,55031.78,54668.11,54783.79,55692.88,54852.30,52102.48,55163.66,54805.13,56177.51,55052.53,57019.40
202,54269.96,54598.02,52997.44,55007.47,53561.14,53710.93,55031.43,53939.89,55321.15,53241.46,55290.70
203,50439.09,51514.34,48740.74,51380.65,48636.21,47696.26,51238.95,51066.41,53139.11,49436.08,51542.16
204,49146.18,50308.23,47457.40,51495.68,47527.58,46403.32,49081.05,49165.45,53064.85,47805.61,49152.68
205,49383.62,49017.47,47782.12,52839.09,46484.08,46358.34,48173.52,50369.25,52826.98,49354.02,50631.35
206,52377.60,53882.09,49577.58,55877.17,50292.98,49007.68,52350.97,51518.24,54795.24,52860.13,53613.93
207,55304.43,54826.23,51592.97,56254.74,54981.35,53300.75,53133.05,56096.43,58692.65,56436.37,57729.76
208,55959.70,55192.29,49812.78,56238.16,56670.82,56288.68,52509.18,59245.40,58531.74,58138.94,56969.01
209,56160.45,55805.27,51258.87,59147.83,55978.79,55427.06,55085.89,58826.59,56145.95,56619.50,57308.79
210,56220.32,56231.79,53781.10,57613.54,54447.83,55522.88,56034.03,57775.68,56493.23,55808.84,58494.25
211,56804.14,58923.87,54729.20,56695.93,54858.85,52876.34,54921.18,58964.05,59189.36,56463.96,60418.65
212,58239.76,59535.18,57720.69,59057.58,54150.82,54843.80,56584.09,60255.75,60812.46,58640.61,60796.65
213,58322.70,62503.64,52049.21,58037.56,56146.28,55429.82,59120.14,61118.61,58600.43,57583.45,62637.88
214,60319.92,61563.43,52736.45,59953.44,59796.20,59959.07,59847.53,65671.73,57541.17,60821.12,65309.10
215,61740.77,59684.31,55664.79,60709.37,60633.83,65077.15,61804.13,67608.91,58726.56,62744.28,64754.38
216,65621.52,63958.53,62966.72,64772.25,65050.27,67222.65,69072.22,71782.51,61314.11,67559.63,62516.34
217,64534.89,63852.23,62429.12,65398.54,64566.40,60243.74,71067.53,62784.95,63398.81,63851.29,67756.31
218,67742.15,66671.77,63559.79,72029.30,70829.55,64912.66,70022.82,62389.22,68264.51,68467.63,70274.28
219,69386.98,66962.28,68875.88,73380.52,71347.95,68854.35,70540.89,69302.82,64398.59,68033.39,72173.13
220,70313.27,68763.40,69064.40,70606.54,70947.99,67701.75,75377.57,71411.09,68939.06,68338.13,71982.78
221,72853.97,71773.53,70989.20,71656.31,77839.81,68999.18,73133.80,73903.15,76210.02,71162.53,72872.13
222,72422.31,71721.93,68826.73,72142.26,70768.15,69348.36,74527.43,73551.17,77845.17,71132.09,74359.81
223,72155.55,70316.02,70064.85,71277.60,68315.43,66367.35,75161.48,76552.64,79714.49,73537.99,70247.62
224,69600.82,69776.03,67187.47,71445.72,65150.45,62958.85,76434.89,72536.39,76749.96,67422.67,66345.76
225,63621.91,63468.67,62768.23,66272.95,60705.57,60519.25,70388.92,62186.13,62832.19,67723.77,59353.42
226,66089.04,63021.92,61285.06,66154.61,65023.62,65050.04,71217.47,71232.89,63393.50,71312.21,63199.03
227,64801.28,65762.96,64075.47,63177.37,61942.88,61448.85,68031.41,69702.68,64320.30,68869.13,60681.78
228,63603.96,63699.95,62978.53,67302.19,62738.26,64425.86,64331.79,61257.82,63348.89,67589.83,58366.51
229,63099.72,60661.98,58307.51,65470.19,62983.41,67282.31,64762.09,58243.38,62007.75,67415.86,63862.72
230,62731.42,61179.62,56420.76,62536.67,61102.26,66520.95,64665.71,58651.06,63870.66,66661.52,65705.02
231,60808.17,57866.30,55227.88,57325.73,61595.27,66405.74,63537.99,56227.10,58410.56,70287.97,61197.19
232,59087.12,58871.33,56034.98,56442.34,58661.88,62486.04,59513.76,58627.41,58970.97,64957.02,56305.45
233,57979.87,56001.03,53158.78,55396.50,55368.69,61083.45,61391.28,56264.44,56730.15,66213.41,58191.00
234,55346.73,55907.09,50567.67,55584.17,53897.95,56701.97,57698.70,53061.70,54760.62,59021.02,56266.47
235,55007.16,54037.30,47725.04,55849.16,52707.21,54373.72,62450.62,55774.67,55076.53,54538.26,57539.04
236,53362.84,54697.38,42095.88,57229.20,49420.13,52197.64,55124.32,58080.73,56026.69,49855.65,58900.75
237,51239.33,50155.51,42532.63,57466.67,48413.71,49254.55,52953.30,52546.42,54744.91,46097.43,58228.13
238,49696.83,46470.17,46177.58,55536.04,46986.68,49568.22,51069.67,46830.50,49594.17,51254.58,53480.69
239,49178.69,45719.70,44651.79,53330.20,48765.73,48702.91,50386.49,49708.70,49926.32,50440.41,50154.65
240,47844.54,46861.94,44171.96,51656.18,45592.06,45333.41,49924.06,50831.01,52225.53,46048.55,45800.70
241,47575.16,47036.24,41309.83,52803.28,44124.28,45483.51,49150.42,48101.13,55220.14,46041.22,46481.49
