timestep,week,duration_h,demand_MW_s0,demand_MW_s1,demand_MW_s2,demand_MW_s3,demand_MW_s4,demand_MW_s5,demand_MW_s6,demand_MW_s7,demand_MW_s8,demand_MW_s9
16,2,24.0,53495.53,56385.98,58483.33,54412.79,51035.14,54044.38,53525.32,53944.09,55842.08,49612.76
17,2,24.0,54612.12,55813.35,58939.43,56166.56,51569.65,56158.05,55031.02,55074.49,56601.01,51266.61
18,2,24.0,53943.86,56429.91,58227.19,54989.09,53120.39,54033.54,55385.47,54392.64,55347.01,51515.00
19,2,24.0,55869.38,55470.80,58583.45,56340.68,53676.92,54847.51,55227.54,55532.32,55224.34,52811.69
20,2,24.0,55505.22,56402.23,58988.20,54949.88,53146.94,54294.60,55521.91,54708.34,56181.40,53090.13
21,3,24.0,54182.63,53758.46,54274.12,51637.89,49582.07,53311.36,55325.86,54351.24,53341.30,54020.91
22,3,24.0,51234.08,50837.58,52109.77,50599.05,47070.77,50594.04,53172.85,51211.42,52423.43,51282.18
23,3,24.0,56160.77,56365.42,56771.48,54730.96,50608.83,55775.86,56015.75,56785.67,54644.28,56367.21
24,3,24.0,55577.95,59335.27,57670.10,53299.77,51004.50,57169.56,56879.57,56817.82,54492.90,56961.00
25,3,24.0,53426.26,57963.59,56840.78,55502.77,50802.15,55827.81,59438.39,56132.02,55262.04,56200.23
26,3,24.0,53544.55,60631.16,57398.70,55574.72,51252.87,54630.24,58819.93,56509.50,54818.26,56571.54
27,3,24.0,55003.66,62077.45,58192.42,54977.39,52923.59,55630.51,58532.62,57998.36,53469.52,56016.68
28,4,24.0,51949.56,59834.92,55898.32,54373.51,50573.28,51395.85,55484.21,54941.62,55763.80,54772.74
29,4,24.0,49524.01,56658.31,53469.62,51283.50,48967.61,49913.60,53291.11,52405.73,54351.49,52679.33
30,4,24.0,54119.91,60795.07,57812.06,56513.67,51636.19,55917.22,58617.69,56303.94,58124.55,55050.01
31,4,24.0,55869.88,60744.94,57426.34,56338.63,53553.34,55984.97,58388.82,57108.10,57101.12,55422.21
32,4,24.0,56138.68,59470.93,57358.19,58053.20,51390.53,56626.32,60185.93,57373.59,58481.47,57486.96
33,4,24.0,56897.07,60730.41,58809.74,58780.05,52675.98,54870.11,58212.23,59054.29,56143.32,56264.15
34,4,24.0,54881.94,61024.37,58052.04,58893.16,53233.85,56628.76,59034.29,59607.87,56586.32,57177.00
35,5,24.0,52937.88,55373.98,55868.16,55612.70,50893.26,54192.74,56331.26,54641.83,56521.77,57667.30
36,5,24.0,51768.00,53197.55,54224.17,53688.45,51010.79,52102.24,53832.69,51835.96,54146.53,55020.02
37,5,24.0,55398.07,59862.18,57543.23,60710.25,53045.25,58028.88,59471.54,57657.32,58193.47,59875.66
38,5,24.0,57361.19,59816.86,59182.80,61825.29,54195.30,60206.29,58397.32,57716.81,57138.03,61277.30
39,5,24.0,57328.77,59760.05,60550.36,60629.78,55291.41,60889.68,59757.90,58124.24,58376.14,60667.19
40,5,24.0,57290.05,60610.31,59652.16,59727.34,56149.48,62200.48,61104.82,59215.93,57968.23,61731.73
41,5,24.0,54769.40,59262.84,59134.37,55946.87,56205.65,63441.39,62377.78,58182.45,58354.40,63908.18
42,6,24.0,50614.00,56686.51,61249.28,51705.48,59720.49,62518.12,60361.66,54075.44,59650.49,60714.28
43,6,24.0,48877.68,54886.43,58430.47,47707.28,57406.50,61021.89,62875.97,51504.55,57434.62,59929.78
44,6,24.0,55872.63,61115.81,59327.72,54991.66,59185.31,64746.89,61598.06,58367.21,60536.85,64255.88
45,6,24.0,55608.26,62792.03,59240.74,55543.61,58774.81,67335.40,62856.89,59392.53,61419.70,64743.69
46,6,24.0,54187.04,62732.97,61148.37,58791.23,61323.89,66281.16,62627.67,60677.85,61107.36,62995.31
47,6,24.0,55557.46,60809.73,62454.18,58938.04,59993.92,64145.40,63725.55,60486.52,60340.21,61878.32
48,6,24.0,54546.86,60414.57,61797.20,59481.21,60897.19,63308.73,62756.30,61183.82,61818.58,65200.26
49,7,24.0,48581.56,58984.16,58188.33,56226.34,60491.46,58921.31,61584.93,58277.10,60989.69,58040.72
50,7,24.0,45473.37,56049.42,55339.88,55813.95,57132.38,56578.26,59219.11,54983.70,57840.10,54191.85
51,7,24.0,48177.70,58135.32,56901.10,57110.91,58303.67,55132.10,62701.04,56361.23,59603.96,56496.90
52,7,24.0,52167.23,57209.40,53186.39,58617.56,57033.64,58169.59,62165.10,58817.86,55531.19,54607.01
53,7,24.0,61403.45,66160.42,61944.97,64577.42,63362.03,65522.46,65653.74,64230.21,63450.35,61983.74
54,7,24.0,62725.37,68675.79,62470.04,66558.69,63351.49,66429.77,66046.71,64762.74,65017.14,62202.89
55,7,24.0,62989.21,69525.69,61926.05,66393.55,61711.92,68501.24,68562.75,64514.80,65997.76,62856.66
56,8,24.0,59921.73,66184.43,58383.59,59044.24,56233.81,66684.39,63035.71,59626.73,63586.05,59207.89
57,8,24.0,57785.98,61877.28,52090.24,56138.83,53083.11,64751.34,59196.14,56736.13,60073.13,56662.76
58,8,24.0,63633.97,65729.85,58131.02,63910.57,58374.31,67882.98,65293.80,63369.36,63440.32,63240.86
59,8,24.0,64536.43,65555.48,60637.53,65189.59,59035.49,68293.32,64642.06,65123.46,65087.95,63755.65
60,8,24.0,63312.57,64836.96,62765.25,65254.54,58287.57,68197.71,63605.13,65126.33,65777.08,64863.98
61,8,24.0,62879.53,65331.53,62210.42,66819.66,59200.84,69805.40,63094.14,65340.82,65948.05,63819.75
62,8,24.0,57011.44,59111.59,56548.69,59472.96,52404.96,65215.79,56830.21,62143.88,59131.39,60103.65
63,9,24.0,57969.32,58649.13,60544.35,59965.43,53552.83,64000.59,61267.11,64923.97,60020.99,59916.42
64,9,24.0,55062.23,57117.78,56282.33,58752.53,51759.88,58655.96,59103.30,63009.88,60094.46,55579.15
65,9,24.0,64350.41,63428.53,60436.60,66412.09,59819.17,65868.40,64456.40,68627.81,66329.67,60992.53
66,9,24.0,64757.15,64062.66,64281.43,67865.74,62548.14,67442.34,65815.87,68314.23,67494.80,62491.45
67,9,24.0,65876.19,64510.27,64332.08,68568.91,62456.90,68550.70,64827.48,66458.61,67389.02,64461.01
68,9,24.0,65017.98,63893.07,66989.16,69721.34,61737.41,70703.97,64213.95,67029.39,68486.14,64642.73
69,9,24.0,65242.55,63230.17,68079.34,70530.51,62976.74,69286.66,63627.87,68553.71,67774.31,65503.19
70,10,24.0,61882.44,58005.57,64473.48,69660.56,59557.23,65069.48,60596.89,65560.64,64842.43,63124.17
71,10,24.0,60351.58,55408.28,62096.82,69586.10,57291.72,60472.04,59565.71,64130.13,62506.01,60842.75
72,10,24.0,66691.23,60738.88,70385.49,72960.95,61937.49,65984.72,67726.86,67605.77,68368.44,67024.69
73,10,24.0,66426.33,63818.85,70642.08,73626.08,61510.94,65891.35,68411.49,67503.29,66066.29,67007.82
74,10,24.0,66440.96,68340.89,68705.16,72095.03,61894.57,66752.45,71135.58,67645.44,65113.67,64404.50
75,10,24.0,65938.55,69114.04,67192.70,69675.47,62975.73,68333.14,69738.95,68392.26,63534.10,66046.77
76,10,24.0,65073.49,71510.60,67993.02,69886.43,63778.37,67151.26,71949.96,68918.95,61207.83,66019.62
77,11,24.0,62517.14,67994.65,64659.20,66518.86,59945.04,62572.51,68919.68,65249.16,53896.82,57403.50
78,11,24.0,57026.48,64518.78,61855.02,62934.54,56741.90,62891.10,66882.10,62929.37,51743.68,56162.13
79,11,24.0,61417.19,67285.05,66086.95,70091.42,62332.26,70305.75,72812.30,69608.87,60327.76,63482.63
80,11,24.0,62418.03,68341.12,67179.14,71910.68,62809.17,69729.81,73088.01,70493.23,61768.24,65633.67
81,11,24.0,64483.14,68992.73,67248.50,69803.05,60908.42,70323.38,72989.55,71887.90,63203.28,64546.08
82,11,24.0,66710.37,73746.79,67659.96,72400.94,61427.32,69740.86,72559.48,71683.19,65928.03,67888.14
83,11,24.0,68109.49,73889.44,68584.77,71655.05,61542.02,70120.28,75673.61,72902.24,66202.52,71171.59
84,12,24.0,65435.00,71662.82,62992.20,69667.56,63307.73,72224.93,68766.00,64119.97,60500.98,68474.39
85,12,24.0,63665.78,70872.99,60536.21,71849.33,61065.91,69619.93,67011.61,61581.40,57809.75,63948.78
86,12,24.0,69296.91,71781.27,67347.40,80313.94,64588.05,74716.01,74393.41,70742.95,66143.88,68264.56
87,12,24.0,69077.88,74015.69,68949.23,81507.39,66664.87,75074.71,75998.29,73679.19,68774.80,69631.65
88,12,24.0,69802.07,70862.44,67832.68,82044.32,65570.84,74079.30,76563.03,76455.79,70113.02,71592.38
89,12,24.0,70945.72,73451.20,69806.38,80649.38,70378.04,74723.98,73832.33,75881.83,69131.57,72608.05
90,12,24.0,70970.78,72275.88,69492.98,82259.37,68995.61,74646.40,74450.09,75643.81,68946.02,73140.23
91,13,24.0,67330.61,69271.25,64396.45,77305.38,65097.52,64082.54,70083.55,71406.56,63965.60,67975.14
92,13,24.0,63379.38,66272.04,62504.33,76069.73,62003.35,61018.16,66858.46,69236.61,61313.88,66347.87
93,13,24.0,68702.68,72665.65,70674.33,75770.32,66085.68,71130.80,72274.05,73089.60,67376.51,74547.26
94,13,24.0,69532.46,72984.23,71548.85,77087.94,66995.85,72849.78,76364.39,72978.82,68276.01,71612.76
95,13,24.0,72114.61,70390.71,71603.28,76199.27,70461.38,72237.38,75657.34,74770.30,70049.34,74682.05
96,13,24.0,71043.92,72486.75,69817.70,75779.02,69690.37,70645.04,74114.63,74221.42,68467.00,73895.20
97,13,24.0,73276.50,71956.15,70283.71,77172.35,71214.98,71344.36,76709.51,77296.91,70920.09,73450.95
98,14,24.0,66313.12,67440.62,64202.22,68679.54,66029.48,67373.36,69843.00,70388.78,68358.00,68915.95
99,14,24.0,63167.12,63485.06,62276.58,65350.88,61702.20,66011.96,65853.91,67140.66,68544.24,68221.36
100,14,24.0,70213.22,70582.86,68916.23,72410.35,69642.34,74463.42,69789.38,72808.75,71216.21,71563.06
101,14,24.0,70395.30,72637.57,69326.08,72951.10,72825.78,77005.21,66676.48,73179.43,74342.32,71812.59
102,14,24.0,69976.75,72661.66,69243.12,73156.44,73338.59,77643.54,69345.31,72551.97,75299.71,70232.02
103,14,24.0,70375.22,70230.66,71360.70,69912.40,71218.43,76442.44,74101.79,73702.86,76758.85,70077.31
104,14,24.0,70676.10,71060.78,69570.18,69327.56,70549.39,71954.51,74451.42,73937.24,76082.15,67271.46
105,15,24.0,72694.84,68717.77,64714.91,64179.44,63598.58,62512.72,69795.29,70737.13,65246.14,57402.13
106,15,24.0,70593.15,67041.07,60432.79,63258.96,59490.11,60671.66,67900.98,67934.33,59928.32,56308.54
107,15,24.0,74754.89,72552.37,67691.09,67224.42,63489.51,67834.23,72194.49,72842.52,66503.64,63324.44
108,15,24.0,75773.37,72962.21,69252.41,66514.33,66188.33,70760.18,72349.19,76590.72,69602.37,65093.85
109,15,24.0,74256.34,72787.72,71455.09,66642.07,67430.85,72699.57,71119.26,78329.87,69186.29,65636.32
110,15,24.0,73511.04,69506.81,72374.16,66210.76,64566.06,76275.82,71693.24,77695.02,68278.11,65765.00
111,15,24.0,71971.24,66795.89,70419.46,67516.19,62719.03,76728.68,69638.52,78015.31,67440.32,64762.49
112,16,24.0,69180.41,62324.18,68606.15,66361.02,57525.82,74034.53,64309.63,73582.82,63501.05,60185.60
113,16,24.0,62671.18,58536.11,68116.55,63276.33,59891.97,75373.69,60128.31,70277.81,60098.81,59602.48
114,16,24.0,69958.69,66808.53,71016.50,68170.82,69152.84,78695.52,64481.77,72811.49,71532.47,68300.26
115,16,24.0,73352.16,72115.37,72416.12,69703.95,73476.86,83038.49,70243.56,73346.21,74782.44,70374.76
116,16,24.0,71069.34,75405.97,70886.21,68178.31,71455.15,83400.35,71726.93,72745.45,74195.32,72338.51
117,16,24.0,73464.42,73979.38,69750.62,69422.09,73167.36,83433.62,69604.43,71169.96,70605.43,72433.37
118,16,24.0,71270.79,75229.09,70125.76,69950.32,75151.33,83515.49,68904.97,69640.30,72058.02,76063.15
119,17,24.0,67267.38,66944.76,70062.84,65098.97,73775.78,77213.03,63741.24,65179.47,69522.09,70453.65
120,17,24.0,65140.15,62885.86,68165.22,64410.03,69668.03,74531.81,63193.69,63611.45,66373.57,66531.52
121,17,24.0,69789.45,70980.86,72117.19,74165.00,76533.53,78692.46,72898.40,71733.95,70688.83,72409.99
122,17,24.0,70881.22,71700.85,69320.98,74674.69,74155.31,79054.03,74093.36,73060.74,72400.22,72950.50
123,17,24.0,72339.32,71139.26,67829.63,73364.74,76913.17,80412.39,75118.25,73376.14,70901.04,75425.25
124,17,24.0,72413.75,72691.41,69326.96,74842.90,75663.78,79720.58,73998.44,71603.51,72909.77,75353.06
125,17,24.0,72971.49,73351.00,72434.47,74975.00,72976.22,80046.98,75951.37,66686.83,72078.64,74790.81
126,18,24.0,70770.63,68632.06,65648.95,70098.41,69862.33,74411.36,75541.05,60196.36,71050.90,73590.28
127,18,24.0,68786.50,68182.17,59997.55,67163.23,66154.41,70237.50,73859.82,61056.45,68551.17,71516.11
128,18,24.0,73270.76,70625.92,67098.81,73012.16,70822.73,76959.81,81225.73,68591.23,69714.54,73712.85
129,18,24.0,74067.44,72612.72,69827.47,73363.77,70308.05,77387.44,81814.54,70318.85,71919.08,72381.55
130,18,24.0,72445.67,71821.72,70493.93,71853.25,70439.68,77833.28,80937.61,69041.33,74385.05,71834.40
131,18,24.0,73995.98,70029.93,70549.51,74344.71,69602.43,78273.74,79177.34,70423.52,74391.40,72441.00
132,18,24.0,70864.81,74733.51,71677.88,73441.90,69423.16,78509.44,78882.25,70502.21,74422.36,71956.46
133,19,24.0,61377.98,71213.59,66820.13,64881.42,64251.18,72350.57,72323.51,67254.32,71098.69,63447.05
134,19,24.0,57994.51,69603.33,67579.28,61480.87,64807.72,70758.07,69058.78,65452.99,67822.17,60736.70
135,19,24.0,68013.61,74807.48,71121.60,70495.12,71886.85,76086.32,73035.56,73118.03,71875.43,68759.99
136,19,24.0,70614.41,74646.73,71496.07,72545.14,70165.45,74569.46,71991.77,73996.68,71649.46,68805.04
137,19,24.0,71494.27,73411.05,71419.50,74395.99,67575.74,77633.53,72592.88,74679.59,75735.23,70616.14
138,19,24.0,71711.73,71978.61,72274.57,74235.32,71545.35,75214.92,70811.70,71234.64,75487.56,71240.82
139,19,24.0,71558.37,74280.12,75076.61,71729.94,71127.26,73038.61,69994.58,71495.91,76632.54,70703.54
140,20,24.0,66513.53,71007.43,71460.36,64552.55,75007.10,66030.84,64141.31,66615.19,73344.36,66853.15
141,20,24.0,64487.48,67765.75,68422.19,64329.93,72367.18,65126.88,61705.20,64524.13,71103.90,64391.06
142,20,24.0,71802.55,71844.95,73652.35,74357.23,76822.96,74899.85,70024.38,71581.39,75954.42,72058.93
143,20,24.0,67503.87,71034.06,74069.78,74655.06,77933.59,75857.84,69049.91,73279.98,75507.63,75228.50
144,20,24.0,65585.47,71305.44,75016.31,72569.00,79733.66,73572.46,67522.53,72085.87,74497.64,72655.66
145,20,24.0,67131.02,69577.37,75327.51,74935.67,79916.84,75665.98,65964.26,70355.84,77596.23,72897.34
146,20,24.0,71576.53,67623.08,75072.14,76930.27,78342.87,75695.90,66091.49,70935.74,78409.56,72856.14
147,21,24.0,66157.84,61895.44,67808.01,69850.76,77411.66,68461.40,60126.61,68093.02,74212.24,64052.83
148,21,24.0,65582.75,60345.76,64887.96,68480.67,77490.77,67051.83,54993.01,66888.59,72188.01,60864.01
149,21,24.0,69880.94,67753.97,67962.19,72799.84,79889.28,69264.41,61054.85,68226.11,77460.49,64949.52
150,21,24.0,71364.27,68841.93,65908.35,71799.23,81275.92,69731.20,62523.40,71023.41,77075.50,68948.84
151,21,24.0,70205.86,69844.04,66128.62,71263.96,81650.99,70127.68,64226.30,72698.24,78418.02,70989.04
152,21,24.0,68990.09,70000.04,68365.79,71555.96,80902.27,69720.54,64039.36,72627.37,78073.79,70459.51
153,21,24.0,68024.10,68234.33,66267.80,72894.77,79810.38,72011.31,64452.19,71508.82,79351.74,68780.15
154,22,24.0,68237.89,60040.10,64414.78,65191.05,77861.42,68536.85,58672.46,65669.37,77823.35,66320.50
155,22,24.0,65459.78,58702.24,64028.63,61906.62,76710.66,66978.89,56861.45,65473.18,76362.21,63528.73
156,22,24.0,71054.11,64837.24,67723.52,66518.29,79596.70,72461.83,63262.33,67334.45,83775.36,65024.42
157,22,24.0,67066.75,65287.44,67451.92,65862.58,79597.12,70228.71,61216.23,68683.17,83974.81,65857.02
158,22,24.0,64298.94,65437.05,66135.59,68224.77,80879.91,68313.78,61001.43,68253.06,83378.33,64091.35
159,22,24.0,67687.17,66819.58,64526.51,69790.97,80398.62,69462.20,60999.20,68780.28,81074.55,62985.48
160,22,24.0,66776.05,66643.85,63906.34,69743.74,80294.68,69000.65,60999.20,67597.32,80868.71,64813.24
161,23,24.0,64361.14,64588.00,62133.28,65289.38,73289.93,63342.29,58215.19,63390.80,74449.08,62585.14
162,23,24.0,63990.36,61100.50,59272.03,62968.77,71466.68,60554.41,56327.49,61606.98,73947.63,59418.38
163,23,24.0,66311.86,63096.34,64485.28,66339.47,74676.44,66088.32,58856.91,66221.86,75436.07,58054.88
164,23,24.0,67867.73,62600.22,68571.25,63473.40,74599.90,67645.99,59165.74,67596.57,74828.37,60940.63
165,23,24.0,66561.39,61624.40,63943.45,63829.17,74392.73,66576.15,59271.29,69696.04,74351.41,61304.50
166,23,24.0,66383.28,62646.90,67550.50,61997.44,74107.02,66939.49,59453.19,68342.50,70967.75,58183.14
167,23,24.0,66527.66,63199.04,69596.92,63207.97,74288.68,68707.42,59252.22,67379.46,73169.85,61821.84
168,24,24.0,67444.30,57592.26,63106.35,60351.53,70344.29,63732.38,57905.75,64765.21,68120.84,55303.24
169,24,24.0,65530.15,53755.82,60651.10,57996.77,68344.23,61746.32,55976.03,62139.59,65028.87,52593.73
170,24,24.0,66445.05,60951.97,67375.32,61925.84,75310.18,63283.63,58544.26,63960.46,75063.64,61637.24
171,24,24.0,65952.53,61817.89,66130.94,63732.04,75074.31,67976.15,58645.01,64635.91,78958.65,62854.72
172,24,24.0,67920.42,58016.45,64334.29,58855.66,74034.79,65932.81,58683.83,61671.82,79431.41,64413.16
173,24,24.0,68990.62,58373.59,62701.70,57044.72,73921.18,67350.02,57995.22,60982.44,79096.62,63399.87
174,24,24.0,69214.69,60724.76,60694.05,57360.63,73897.08,66376.11,58356.71,61376.74,79302.29,63418.67
175,25,24.0,64204.68,59573.24,61949.68,58730.29,70001.17,63244.47,55891.49,61943.45,70800.19,63175.47
176,25,24.0,60602.14,58626.04,58069.80,57233.73,67062.57,60158.20,56118.30,59832.71,66940.86,60680.84
177,25,24.0,67297.31,60554.65,57799.29,59562.87,70150.75,63104.25,59167.15,59663.18,69868.73,61658.30
178,25,24.0,65398.94,58342.66,59094.72,62233.51,69190.74,62926.20,57960.60,60130.92,69192.32,59824.17
179,25,24.0,69888.85,60904.86,58774.20,60449.34,67072.59,64661.40,57335.80,60032.67,69244.83,59424.00
180,25,24.0,69102.90,59537.55,59348.59,59676.46,71917.65,62587.98,57722.10,60588.15,69018.87,60274.92
181,25,24.0,69980.10,60553.97,60267.37,60556.65,70686.21,66007.40,58400.01,62727.39,67453.23,58883.90
182,26,24.0,64445.81,61103.35,57077.77,59841.54,63588.50,62125.50,57492.36,55641.92,62019.69,58209.35
183,26,24.0,61259.04,58266.11,54718.22,58556.22,60208.38,59315.53,56043.59,53781.35,60483.94,54578.95
184,26,24.0,66727.30,58764.24,58106.82,62345.99,63011.99,64273.11,59932.88,60192.17,67749.16,58861.48
185,26,24.0,67049.35,57893.73,58494.25,61857.25,68108.08,67131.16,57082.11,62741.50,67558.08,60278.04
186,26,24.0,63138.69,57689.12,58348.38,61328.67,65623.67,64794.46,58982.68,62307.41,70583.43,58931.49
187,26,24.0,64302.99,55906.01,58374.70,61637.09,66389.07,67067.02,57335.46,60750.89,67587.84,62463.16
188,26,24.0,61632.67,56866.49,58931.58,62681.33,66590.07,64211.99,57700.45,60423.58,67089.16,63971.53
189,27,24.0,58994.77,54172.26,58580.73,57671.23,59585.65,63650.88,53227.03,55556.37,59405.91,61613.38
190,27,24.0,56739.94,51742.14,60193.39,56255.95,56936.37,63315.73,53433.49,56221.70,55213.16,59193.09
191,27,24.0,64285.61,55521.36,60480.88,59545.48,63289.76,64420.22,58191.59,61185.31,60479.59,62282.56
192,27,24.0,65971.23,57342.39,59378.69,60420.59,60092.88,62608.19,57156.67,61778.61,61703.65,61346.26
193,27,24.0,66013.64,56503.08,59421.51,60443.06,60393.23,64264.64,60304.33,66171.68,60302.80,59809.82
194,27,24.0,66390.11,55718.71,60078.31,60538.63,60493.86,63802.47,57631.20,62794.05,60152.64,60070.71
195,27,24.0,62874.86,55138.67,63745.76,61705.62,60720.18,59832.12,56828.22,62379.39,62216.05,59947.55
196,28,24.0,63235.44,52583.78,58149.82,59485.39,56709.21,63183.37,57007.24,61840.78,58445.53,61759.27
197,28,24.0,62610.48,49638.25,55352.92,56755.06,53794.01,60555.04,53817.78,58958.47,55134.85,59445.26
198,28,24.0,62721.05,57010.44,60776.01,57279.49,58873.54,62299.24,60048.22,60776.06,62086.36,62632.31
199,28,24.0,64878.16,56155.19,62293.67,58324.21,58561.63,62313.06,59425.85,59894.33,60623.52,60141.83
200,28,24.0,64136.40,58993.66,61934.69,58473.52,56405.41,63090.28,59119.17,58885.60,59003.85,60302.34
201,28,24.0,60972.05,58079.89,62471.66,59536.81,59663.79,63340.23,59737.17,61813.83,60605.92,59510.22
202,28,24.0,58680.35,59663.41,66322.12,59218.69,58458.22,59812.33,60474.64,62144.97,61293.01,63435.02
203,29,24.0,57037.02,55053.71,60745.52,53858.85,56472.76,58724.55,53403.50,57256.85,55882.90,61457.22
204,29,24.0,56209.33,54121.26,58682.18,50919.05,53186.27,54996.82,53000.75,56473.90,54964.62,59301.49
205,29,24.0,60555.00,61979.00,62695.42,54928.51,57723.09,58702.38,55211.06,56480.97,61424.99,61086.19
206,29,24.0,58753.74,59253.23,63690.22,54645.44,59737.15,59241.13,54166.24,57777.84,62745.05,59126.54
207,29,24.0,57348.74,58782.33,61701.18,55699.06,56922.14,60167.10,54715.33,57275.46,64846.26,59518.70
208,29,24.0,59836.95,58822.01,60935.92,56743.68,56663.93,58142.11,56698.07,56874.81,64303.47,57888.72
209,29,24.0,60414.33,62235.03,61000.35,56534.38,56209.03,62925.16,56244.30,55499.98,65897.03,60816.04
210,30,24.0,55866.40,56629.30,59325.04,54152.00,55374.30,56724.74,53594.05,51950.33,59554.59,59857.30
211,30,24.0,52581.15,54142.46,57440.34,54775.07,52108.28,53818.54,51774.31,47643.98,55742.40,56680.35
212,30,24.0,58522.08,58455.44,61017.95,57264.00,57268.38,59300.27,56316.92,54385.19,62988.67,62348.25
213,30,24.0,59140.28,60862.53,61220.66,56595.89,57890.67,60481.93,56926.66,55416.56,65591.46,61910.21
214,30,24.0,59644.22,61062.17,59914.32,58117.52,57753.71,60453.77,56951.69,56687.15,63270.71,62318.18
215,30,24.0,59494.95,59737.93,61413.12,57969.64,59093.78,58793.85,56738.01,55224.97,64397.66,61389.15
216,30,24.0,59985.75,57852.99,57623.98,54672.26,60203.23,61382.44,56465.44,56362.63,63590.65,59250.58
217,31,24.0,53456.31,52833.26,51791.52,51808.45,52959.74,56514.24,50155.96,50723.52,56958.94,51247.74
218,31,24.0,50761.86,50971.23,49845.48,49442.52,49110.52,51288.18,48568.16,48242.16,54339.95,50257.99
219,31,24.0,50938.64,50165.65,50542.41,48479.61,49352.98,51116.76,48970.77,48040.46,53247.46,50743.32
220,31,24.0,58276.87,57880.08,59507.14,54242.64,55530.76,61401.38,55113.84,56124.53,59289.81,57402.50
221,31,24.0,59376.71,57834.21,56688.66,54917.17,56276.19,63671.92,57202.37,55715.51,59512.17,58551.74
222,31,24.0,58835.04,56979.08,56513.88,57715.35,55396.10,64522.23,58946.37,57823.93,59475.71,57655.48
223,31,24.0,57034.64,58133.76,56429.14,55192.32,55417.49,64738.78,55839.11,58765.22,60185.71,57001.27
224,32,24.0,54311.10,52667.28,52153.15,52296.04,50981.48,59399.94,54749.83,55348.61,54603.10,50287.01
225,32,24.0,53713.36,49673.55,50415.67,49762.23,47813.05,54317.93,51959.75,52978.37,51369.80,47935.16
226,32,24.0,58246.75,55046.97,58114.62,54995.07,54067.57,61063.09,56790.68,59089.73,58545.92,55522.45
227,32,24.0,58826.98,54735.94,56916.16,56725.89,52690.75,61119.22,57760.97,60385.92,58686.91,55687.31
228,32,24.0,57260.87,55447.96,56812.70,55841.82,52696.47,64448.49,58107.35,59827.12,58265.59,56815.34
229,32,24.0,56881.74,53285.08,58061.77,55844.64,52786.60,60942.30,56585.37,59940.59,58108.76,56946.47
230,32,24.0,56881.49,54139.93,57511.67,57773.39,53991.98,58882.75,58368.55,61719.52,55975.98,56505.95
231,33,24.0,51973.44,47572.53,54249.76,53882.58,47460.24,54345.60,51202.36,59467.87,48188.21,48933.66
232,33,24.0,48465.88,44730.87,52840.87,51259.11,42503.34,50436.55,45406.66,54938.99,46933.69,44508.65
233,33,24.0,45690.42,45273.28,52399.35,51062.20,45929.52,50414.53,45885.51,52995.52,49024.84,45674.47
234,33,24.0,51772.89,50287.68,57212.03,57602.27,53366.27,56847.57,53296.88,58934.35,56878.09,53842.10
235,33,24.0,54193.47,50549.72,59195.93,57873.07,54620.43,59076.23,56322.47,56769.07,57102.41,55673.04
236,33,24.0,55356.25,49894.81,59467.02,59159.81,54778.42,58419.77,56369.38,56621.95,56902.92,55891.69
